contrast	module	orthogroup_id	gene_label	display_gene_label	x	index_in_module	strain	point_class	status_raw	member_gene_count_in_strain	direction	plot_direction	logFC	pvalue	FDR	neg_log10_p	n_DEG_events	n_DEG_strains	DEG_strains	directions	strict_function_evidence	representative_product	ko_terms	pathway_ids	member_gene_symbols
D55_vs_B55	membrane maintenance	OG0000242	bepA	bepA	1	1	Halomonas	DEG	DEG	2	Up	Up	1.21665862804268	4.91366849749734e-08	3.24224740228565e-07	7.30859414670901	3	3	Aequorivita;Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_B55	membrane maintenance	OG0000242	bepA	bepA	1	1	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	2							3	3	Aequorivita;Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_B55	membrane maintenance	OG0000242	bepA	bepA	1	1	Sphingopyxis	DEG	DEG	1	Up	Up	1.96904421397382	9.43416032045488e-16	2.2821772146464e-13	15.0252967477959	3	3	Aequorivita;Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_B55	membrane maintenance	OG0000242	bepA	bepA	1	1	Aequorivita	DEG	DEG	1	Up	Up	1.38677459969802	4.60952155180079e-09	2.85923125235546e-07	8.33634415014097	3	3	Aequorivita;Halomonas;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_B55	membrane maintenance	OG0000481	pal	pal	2	2	Halomonas	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Psychrobacter;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	hypothetical protein	K03286;K03640		pal
D55_vs_B55	membrane maintenance	OG0000481	pal	pal	2	2	Psychrobacter	DEG	DEG	1	Up	Up	1.92899157889269	2.6594990118484e-09	5.72354153535825e-08	8.57520016670789	2	2	Psychrobacter;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	hypothetical protein	K03286;K03640		pal
D55_vs_B55	membrane maintenance	OG0000481	pal	pal	2	2	Sphingopyxis	DEG	DEG	1	Up	Up	1.56735464012321	3.1160904610026e-13	1.61791866223413e-11	12.5063899431227	2	2	Psychrobacter;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	hypothetical protein	K03286;K03640		pal
D55_vs_B55	membrane maintenance	OG0000481	pal	pal	2	2	Aequorivita	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Psychrobacter;Sphingopyxis	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	hypothetical protein	K03286;K03640		pal
D55_vs_B55	membrane maintenance	OG0001862	lolA	lolA	3	3	Halomonas	DEG	DEG	1	Up	Up	2.41353849696937	2.53861036280831e-13	4.25471096806672e-11	12.595403951457	2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	outer membrane lipoprotein chaperone LolA	K03634		lolA
D55_vs_B55	membrane maintenance	OG0001862	lolA	lolA	3	3	Psychrobacter	DEG	DEG	1	Up	Up	2.21753344763899	2.75072236565335e-11	2.47241398512842e-09	10.5605532413622	2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	outer membrane lipoprotein chaperone LolA	K03634		lolA
D55_vs_B55	membrane maintenance	OG0001862	lolA	lolA	3	3	Sphingopyxis	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	outer membrane lipoprotein chaperone LolA	K03634		lolA
D55_vs_B55	membrane maintenance	OG0001862	lolA	lolA	3	3	Aequorivita	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	outer membrane lipoprotein chaperone LolA	K03634		lolA
D55_vs_B55	membrane maintenance	OG0000460	cfa	cfa	4	4	Halomonas	DEG	DEG	1	Up	Up	2.39512396235573	3.72168189203112e-10	8.06530023808119e-09	9.42926075061407	2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	cyclopropane-fatty-acyl-phospholipid synthase family protein	K00574		cfa
D55_vs_B55	membrane maintenance	OG0000460	cfa	cfa	4	4	Psychrobacter	DEG	DEG	1	Up	Up	1.85822633497096	4.4302407241955e-08	5.16748689051201e-07	7.35357267505246	2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	cyclopropane-fatty-acyl-phospholipid synthase family protein	K00574		cfa
D55_vs_B55	membrane maintenance	OG0000460	cfa	cfa	4	4	Sphingopyxis	Present_not_DEG	Homolog_present_not_DEG	3							2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	cyclopropane-fatty-acyl-phospholipid synthase family protein	K00574		cfa
D55_vs_B55	membrane maintenance	OG0000460	cfa	cfa	4	4	Aequorivita	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	cyclopropane-fatty-acyl-phospholipid synthase family protein	K00574		cfa
