panel,comparison_label,strain,contrast,orthofinder_orthogroup,OG_gene_symbol,logCPM,logFC,FDR,ma_class_from_code
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000000,bapA,16.9174347608755,0.71639338090094,0.0017130847165693,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000001,ofaB,9.4706856616835,0.17197198007873,0.365015123901833,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000003,cysB,7.3753621474063,0.211925244777988,0.336053152579773,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000004,kdpD,5.43198704666044,-0.365210193485558,0.154033873694703,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000011,xerD,7.10726237317608,0.555293206161851,0.0824761775822788,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000012,mexL,5.97202018600888,1.03739906160116,0.0002666833479111,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000014,susC,14.0494922257156,0.250400131650044,0.233492274378193,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000015,potA,8.46624205228995,0.197017348479482,0.132637922530797,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000016,adh,8.11155643955614,0.119195061309332,0.346115895269226,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000017,mltD,11.3141924576105,-0.542985030229545,0.0231549815361319,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000018,ampC,7.44940995791287,0.137545918332469,0.31144738193529,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000020,aglI,10.3918302478537,0.231101983537458,0.0488852559247147,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000021,prpR,1.6178248663018,0.773047936509459,0.0719244232376352,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000023,chpA,7.3857397787496,2.95934208638006,5.68520531115314e-08,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000024,uspE,11.2162458430122,-0.721481048000682,0.125880364581112,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000025,ccmG,9.98810492741477,-0.0697746908278885,0.569991313248749,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000026,lrp,8.25095379549001,0.484009553193328,0.0245768198769959,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000028,pnbA,7.9974443553873,-0.330311968581555,0.308635687742052,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000030,barA,9.9552178410076,0.903658563754705,2.75448678249724e-05,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000031,phoP,9.56632248156454,0.843093927106733,0.0017772328565448,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000032,slyA,7.34913572724718,0.371072672218463,0.136400103043381,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000033,merR,5.34465482110408,0.702606494508763,0.0029199001405427,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000035,rpoE,4.98714429382181,0.691767847178508,0.0096535876522858,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000036,alkR,7.44888848330671,0.34602551731763,0.113513158034129,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000037,actP,8.17481517920077,-0.262382076415791,0.155668655435165,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000038,algZ,8.130939573657,0.886703395472496,5.466082195476e-05,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000039,fepA,11.7680281422488,-0.104599450991996,0.58057660645491,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000040,emrB,5.68535463677429,-0.29311741280513,0.201812740413101,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000044,oprM,9.89276153848413,0.0628986018828258,0.899538054352179,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000045,mupP,6.70617717705429,0.767375616771856,0.002721633814191,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000046,lspA,6.09192356907611,0.327574609708276,0.0732650657281787,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000051,bgsB,5.84218850492306,-0.256582451793797,0.241926542006005,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000052,pcaD,6.59650490269682,-0.617726842768651,0.0021874156520891,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000053,mucR,6.8486691598302,-0.53858235026444,0.0060287228716401,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000054,fieF,6.9304750832397,0.650032109832171,0.0001246923967146,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000055,bluF,3.65214946923327,-0.172528983379967,0.683230685990168,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000059,gbdR,6.31705529909159,0.0306870533366434,0.846744803682068,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000060,czcA,11.1322989885909,0.353920658136964,0.235856036854222,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000061,mepM,9.59077689892173,1.16933579181052,2.75448678249724e-05,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000062,nirB,8.24667086081625,1.104271016276,0.0002268038729524,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000063,ladS,8.40469421139315,0.544675623993003,0.0338802949036793,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000064,emrA,4.64935489708717,-0.62670888828078,0.11786122503424,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000065,tolC,9.18681334927991,1.03690181566272,7.90461599729942e-06,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000066,gloB,11.037236492746,-0.318120795363449,0.0689115048927185,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000067,pecM,4.89284986276191,0.148903139064535,0.571279041020378,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000068,exbB,11.4159821614218,-0.200019847108626,0.123342163806097,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000069,cspA,4.38990489927191,0.712218794349699,0.062525799825268,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000070,radC,6.19810318955458,-0.143047629724791,0.655519677392271,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000071,ubiE,7.72880890546255,0.0408921137473615,0.820684658660542,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000072,fhuE,11.0649694908,2.44184230835815,0.0011779187897481,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000081,gltL,7.44819256665875,1.09834597795627,1.3695989386303e-06,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000082,hsaD,7.85051750611254,0.298285987473598,0.0730964669950571,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000083,pal,11.2965611786276,0.27730856880689,0.159827472929259,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000084,paaG,7.87129433868141,-0.407201312712523,0.149505800408986,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000085,degU,7.82068098649318,0.11938781132793,0.552750273212467,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000086,serA,9.43092126756854,-0.573338729391598,0.0041568833721617,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000087,crtN,8.26813202034729,0.45819324723175,0.0015070194138714,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000088,rluB,8.53120788322136,-0.43142361869309,0.0020549221755317,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000089,gldA,8.38776193529048,-0.0743538273588952,0.605068274244907,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000090,gene2353,9.04365811551663,-0.157916499446877,0.649575415517464,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000096,czcB,10.1304395204324,-0.0327525854479372,0.92830829280432,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000097,czcB,8.95656163830456,-0.414159056389029,0.0164209540134336,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000099,rpoE,8.51781258820665,0.088761963325599,0.786540170846815,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000100,frmA,4.56568407064027,0.0603317254814828,0.89845139539564,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000101,tgnA,7.72926671686572,-0.419473744287314,0.0091652568871508,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000102,arsR,2.05862591652738,1.1433837560215,0.151339698044317,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000104,aldB,8.13316899026308,-0.608080939557672,0.0991523533826379,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000105,bcd,11.7217161255111,-1.77833521172399,0.0002379876206845,down
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000106,aguB,6.02327842695206,0.388935869860697,0.0538772527613211,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000107,ubiH,9.97016867170831,-0.473493324843506,0.0025943642239689,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000108,rnhA-dnaQ,8.54132056557047,0.221797975600953,0.106677778755395,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000109,suhB,7.86203272024421,0.120178035024497,0.365743523950847,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000110,ilvB,7.96236390970994,0.0620275197999063,0.766556637964584,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000111,sadA,9.95378739480947,1.0174316840999,0.0019622027856742,up
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000112,fhuB,6.10236577315882,0.478364416869633,0.0232020316291244,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000113,gltX,9.38897957754832,-0.762470440801339,3.23412545566421e-05,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000114,acrB,11.6465544973465,0.0719784323433173,0.835316011264727,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000115,merT,6.95005144705275,0.0211992878771552,0.963397847520508,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000116,mmcO,9.01894306134059,0.331931708798079,0.290319434424438,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000118,tlyC,7.24584812435347,0.167430564472016,0.477176280572861,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000119,dsbD,8.81599544874947,0.146356610393084,0.436617657098417,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000120,npd,9.01129408153214,0.169592363340388,0.439385533948226,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000121,ubiB,13.4498312888614,-0.486719682281628,0.0335109610317246,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000122,gene3132,8.90871969221638,0.358511507283612,0.0295011067989479,mid
a,55 MPa Droplet vs 55 MPa Bulk,Aequorivita,D55_vs_B55,OG0000139,vexE,7.92981720664267,0.787757432775936,0.0062381015318373,mid
