"strain","sample","condition","condition_label","sample_id"
"Halomonas","D55MPa1","D55","55D","D55MPa1"
"Halomonas","D55MPa2","D55","55D","D55MPa2"
"Halomonas","D55MPa3","D55","55D","D55MPa3"
"Halomonas","D55MPa4","D55","55D","D55MPa4"
"Halomonas","D0.1MPa1","D0","0D","D0.1MPa1"
"Halomonas","D0.1MPa2","D0","0D","D0.1MPa2"
"Halomonas","D0.1MPa3","D0","0D","D0.1MPa3"
"Halomonas","D0.1MPa4","D0","0D","D0.1MPa4"
"Halomonas","B55MPa1","B55","55B","B55MPa1"
"Halomonas","B55MPa2","B55","55B","B55MPa2"
"Halomonas","B55MPa3","B55","55B","B55MPa3"
"Halomonas","B0.1MPa1","B0","0B","B0.1MPa1"
"Halomonas","B0.1MPa2","B0","0B","B0.1MPa2"
"Halomonas","B0.1MPa3","B0","0B","B0.1MPa3"
"Sphingopyxis","SPH5500D1","D55","55D","SPH5500D1"
"Sphingopyxis","SPH5500D2","D55","55D","SPH5500D2"
"Sphingopyxis","SPH5500D3","D55","55D","SPH5500D3"
"Sphingopyxis","SPH5500D4","D55","55D","SPH5500D4"
"Sphingopyxis","SPH0D1","D0","0D","SPH0D1"
"Sphingopyxis","SPH0D2","D0","0D","SPH0D2"
"Sphingopyxis","SPH0D3","D0","0D","SPH0D3"
"Sphingopyxis","SPH0D4","D0","0D","SPH0D4"
"Sphingopyxis","SPH5500B1","B55","55B","SPH5500B1"
"Sphingopyxis","SPH5500B2","B55","55B","SPH5500B2"
"Sphingopyxis","SPH5500B3","B55","55B","SPH5500B3"
"Sphingopyxis","SPH5500B4","B55","55B","SPH5500B4"
"Sphingopyxis","SPH0B1","B0","0B","SPH0B1"
"Sphingopyxis","SPH0B2","B0","0B","SPH0B2"
"Sphingopyxis","SPH0B3","B0","0B","SPH0B3"
"Sphingopyxis","SPH0B4","B0","0B","SPH0B4"
"Psychrobacter","PSY5500D1","D55","55D","PSY5500D1"
"Psychrobacter","PSY5500D2","D55","55D","PSY5500D2"
"Psychrobacter","PSY5500D3","D55","55D","PSY5500D3"
"Psychrobacter","PSY5500D4","D55","55D","PSY5500D4"
"Psychrobacter","PSY0D1","D0","0D","PSY0D1"
"Psychrobacter","PSY0D2","D0","0D","PSY0D2"
"Psychrobacter","PSY0D3","D0","0D","PSY0D3"
"Psychrobacter","PSY0D4","D0","0D","PSY0D4"
"Psychrobacter","PSY5500B1","B55","55B","PSY5500B1"
"Psychrobacter","PSY5500B2","B55","55B","PSY5500B2"
"Psychrobacter","PSY5500B3","B55","55B","PSY5500B3"
"Psychrobacter","PSY5500B4","B55","55B","PSY5500B4"
"Psychrobacter","PSY0B1","B0","0B","PSY0B1"
"Psychrobacter","PSY0B2","B0","0B","PSY0B2"
"Psychrobacter","PSY0B3","B0","0B","PSY0B3"
"Psychrobacter","PSY0B4","B0","0B","PSY0B4"
"Aequorivita","AE5500D1","D55","55D","AE5500D1"
"Aequorivita","AE5500D3","D55","55D","AE5500D3"
"Aequorivita","AE5500D4","D55","55D","AE5500D4"
"Aequorivita","AE0D1","D0","0D","AE0D1"
"Aequorivita","AE0D2","D0","0D","AE0D2"
"Aequorivita","AE0D3","D0","0D","AE0D3"
"Aequorivita","AE0D4","D0","0D","AE0D4"
"Aequorivita","AE5500B1","B55","55B","AE5500B1"
"Aequorivita","AE5500B2","B55","55B","AE5500B2"
"Aequorivita","AE5500B3","B55","55B","AE5500B3"
"Aequorivita","AE5500B4","B55","55B","AE5500B4"
"Aequorivita","AE0B1","B0","0B","AE0B1"
"Aequorivita","AE0B2","B0","0B","AE0B2"
"Aequorivita","AE0B3","B0","0B","AE0B3"
"Aequorivita","AE0B4","B0","0B","AE0B4"
