orthofinder_orthogroup,strain,contrast,logFC,FDR,OG_gene_symbol,representative_product,ko_terms,pathway_names,cog_category_names,min_FDR,max_abs_logFC
OG0002288,Sphingopyxis,D55_vs_D0,-6.8020902782829,1.82499526167509e-18,gene0502,DUF1153 domain-containing protein,,,S: Function unknown,1.82499526167509e-18,6.8020902782829
OG0000166,Sphingopyxis,D55_vs_D0,4.64776516292639,1.82499526167509e-18,pecM,DMT family transporter,,,E: Amino acid transport and metabolism;G: Carbohydrate transport and metabolism;P: Inorganic ion transport and metabolism,1.82499526167509e-18,4.64776516292639
OG0001503,Sphingopyxis,D55_vs_D0,-4.0591526876473,1.1518626730479e-16,TC.FEV.OM,TonB-dependent receptor,K02014,,P: Inorganic ion transport and metabolism,1.1518626730479e-16,7.71451620483631
OG0000335,Sphingopyxis,D55_vs_D0,2.8990205019142,1.1518626730479e-16,pspC,PspC domain-containing protein,K03973,,K: Transcription;T: Signal transduction mechanisms,1.1518626730479e-16,3.56419327026713
OG0001974,Sphingopyxis,D55_vs_D0,-5.34679510686647,1.16282848299048e-16,hpxA,MULTISPECIES: aspartate/glutamate racemase family protein,K16841,Metabolic pathways;Microbial metabolism in diverse environments;Purine metabolism,E: Amino acid transport and metabolism,1.16282848299048e-16,5.34679510686647
OG0001086,Sphingopyxis,D55_vs_D0,-4.76937427468239,1.16282848299048e-16,csgF,MULTISPECIES: curli assembly protein CsgF,K04338,,S: Function unknown,1.16282848299048e-16,4.76937427468239
OG0002286,Sphingopyxis,D55_vs_D0,3.63250120073281,1.16282848299048e-16,prkC,winged helix-turn-helix domain-containing protein,,,K: Transcription,1.16282848299048e-16,3.63250120073281
OG0001528,Sphingopyxis,D55_vs_D0,-3.39182014816391,1.24426379569372e-16,gene2992,S9 family peptidase,,,E: Amino acid transport and metabolism,1.24426379569372e-16,3.39182014816391
OG0000800,Sphingopyxis,D55_vs_D0,-4.88165812065114,1.37328483567708e-16,metF,methylenetetrahydrofolate reductase,K00297,Carbon metabolism;Metabolic pathways;Microbial metabolism in diverse environments;One carbon pool by folate;Other carbon fixation pathways,E: Amino acid transport and metabolism,1.37328483567708e-16,4.88165812065114
OG0000920,Sphingopyxis,D55_vs_D0,3.38670291330691,1.37328483567708e-16,ffh,signal recognition particle protein,K03106,Bacterial secretion system;Protein export;Quorum sensing,U: Intracellular trafficking;secretion;and vesicular transport,1.37328483567708e-16,3.38670291330691
OG0002261,Sphingopyxis,D55_vs_D0,-4.1720357891029,1.78405902408702e-16,parA,chromosome partitioning protein ParA,K03496,,D: Cell cycle control;cell division;chromosome partitioning,1.78405902408702e-16,4.1720357891029
OG0002326,Sphingopyxis,D55_vs_D0,3.49394560567953,1.78405902408702e-16,gene1596,pyrimidine 5'-nucleotidase,K07025,,S: Function unknown,1.78405902408702e-16,3.49394560567953
OG0001646,Sphingopyxis,D55_vs_D0,-5.18017611860683,2.32764266617971e-16,sadA,hypothetical protein,,,S: Function unknown;G: Carbohydrate transport and metabolism,2.32764266617971e-16,8.70238503121492
OG0001394,Sphingopyxis,D55_vs_D0,5.9370722280952,2.54842479775572e-16,ahpF,MULTISPECIES: alkyl hydroperoxide reductase subunit F,K03387,,O: Posttranslational modification;protein turnover;chaperones;C: Energy production and conversion,2.54842479775572e-16,5.9370722280952
OG0000831,Sphingopyxis,D55_vs_D0,3.62969973171185,2.54842479775572e-16,radA,MULTISPECIES: DNA repair protein RadA,K04485,,O: Posttranslational modification;protein turnover;chaperones,2.54842479775572e-16,3.62969973171185
OG0000131,Sphingopyxis,D55_vs_D0,2.98240351479526,2.56487812766417e-16,gene3779,integrase,K07497,,L: Replication;recombination and repair,2.56487812766417e-16,2.98240351479526
OG0002302,Sphingopyxis,D55_vs_D0,-6.53537763081399,6.195145374204201e-16,pilA,Flp family type IVb pilin,K02651,Cell cycle - Caulobacter;Two-component system,U: Intracellular trafficking;secretion;and vesicular transport,6.195145374204201e-16,6.53537763081399
