contrast	term_id	term_name	GeneRatio	Count	pvalue	p.adjust	-lg(p.adjust)	geneID
D55_vs_D0	map03010	Ribosome	0.080196399	49	9.68489E-09	1.24935E-06	5.903316	OG0000611/OG0000612/OG0000613/OG0000637/OG0000685/OG0000686/OG0000687/OG0000700/OG0000758/OG0000760/OG0000761/OG0000762/OG0000765/OG0000766/OG0000767/OG0000768/OG0000769/OG0000770/OG0000771/OG0000772/OG0000773/OG0000774/OG0000775/OG0000776/OG0000777/OG0000778/OG0000779/OG0000780/OG0000781/OG0000782/OG0000783/OG0000784/OG0000785/OG0000786/OG0000824/OG0000825/OG0000847/OG0000866/OG0000867/OG0000868/OG0000869/OG0000882/OG0000888/OG0000908/OG0000909/OG0000924/OG0000938/OG0001379/OG0001414
D55_vs_D0	map02040	Flagellar assembly	0.04091653	25	0.000852706	0.054999533	1.259641	OG0000235/OG0000483/OG0000570/OG0001722/OG0001285/OG0001347/OG0001366/OG0001987/OG0001988/OG0001991/OG0001992/OG0001994/OG0001995/OG0001996/OG0001997/OG0001998/OG0001999/OG0002000/OG0002002/OG0002003/OG0002004/OG0002005/OG0002006/OG0002007/OG0002008
D55_vs_D0	map00280	Valine, leucine and isoleucine degradation	0.039279869	24	0.0080069	0.327667825	0.484566	OG0000105/OG0000248/OG0000298/OG0000302/OG0000306/OG0000320/OG0000350/OG0000498/OG0000538/OG0000569/OG0000708/OG0000709/OG0000739/OG0000914/OG0001209/OG0001544/OG0000453/OG0000977/OG0001035/OG0001362/OG0001363/OG0001984/OG0002058/OG0002221
D55_vs_D0	map00195	Photosynthesis	0.01309329	8	0.01186071	0.327667825	0.484566	OG0000721/OG0000722/OG0000723/OG0000724/OG0000827/OG0000828/OG0001129/OG0001130
D55_vs_D0	map02030	Bacterial chemotaxis	0.018003273	11	0.012700303	0.327667825	0.484566	OG0000023/OG0000359/OG0000570/OG0000007/OG0001366/OG0001368/OG0001989/OG0001990/OG0001991/OG0001996/OG0001998
D55_vs_D0	map00640	Propanoate metabolism	0.039279869	24	0.051569907	0.98848324	0.005031	OG0000160/OG0000248/OG0000302/OG0000306/OG0000320/OG0000350/OG0000498/OG0000538/OG0000562/OG0000663/OG0000735/OG0000889/OG0000898/OG0001544/OG0000128/OG0000453/OG0001035/OG0001278/OG0001362/OG0001370/OG0002010/OG0002030/OG0002058/OG0002182
D55_vs_D0	map00190	Oxidative phosphorylation	0.052373159	32	0.06158822	0.98848324	0.005031	OG0000370/OG0000491/OG0000558/OG0000559/OG0000679/OG0000721/OG0000722/OG0000723/OG0000724/OG0000807/OG0000827/OG0000828/OG0001129/OG0001130/OG0000047/OG0000431/OG0001319/OG0001320/OG0001354/OG0001388/OG0001389/OG0001857/OG0002061/OG0002075/OG0002191/OG0002192/OG0002193/OG0002194/OG0002195/OG0002196/OG0002197/OG0001031
D55_vs_D0	map00907	Pinene, camphor and geraniol degradation	0.008183306	5	0.062893063	0.98848324	0.005031	OG0000100/OG0000298/OG0000302/OG0000914/OG0001035
D55_vs_D0	map00670	One carbon pool by folate	0.027823241	17	0.080255516	0.98848324	0.005031	OG0000104/OG0000234/OG0000424/OG0000538/OG0000643/OG0000674/OG0000739/OG0000800/OG0000801/OG0000803/OG0000855/OG0000860/OG0000885/OG0001167/OG0001544/OG0001678/OG0000128
D55_vs_D0	map00290	Valine, leucine and isoleucine biosynthesis	0.018003273	11	0.08945469	0.98848324	0.005031	OG0000110/OG0000254/OG0001027/OG0001209/OG0000185/OG0000949/OG0000972/OG0000974/OG0001364/OG0001426/OG0001427
D55_vs_D0	map00410	beta-Alanine metabolism	0.016366612	10	0.126528057	0.98848324	0.005031	OG0000106/OG0000302/OG0000368/OG0000498/OG0000739/OG0000830/OG0000453/OG0000969/OG0001035/OG0001362
D55_vs_D0	map00071	Fatty acid degradation	0.018003273	11	0.16393781	0.98848324	0.005031	OG0000062/OG0000100/OG0000105/OG0000298/OG0000302/OG0000405/OG0000498/OG0000739/OG0001035/OG0001886/OG0002221
