contrast	module	orthogroup_id	gene_label	display_gene_label	x	index_in_module	strain	point_class	status_raw	member_gene_count_in_strain	direction	plot_direction	logFC	pvalue	FDR	neg_log10_p	n_DEG_events	n_DEG_strains	DEG_strains	directions	strict_function_evidence	representative_product	ko_terms	pathway_ids	member_gene_symbols
D55_vs_D0	membrane maintenance	OG0000943	tolB	tolB	1	1	Halomonas	DEG	DEG	1	Up	Up	1.52999668444497	5.83150591349637e-10	8.96660909267882e-09	9.2342192796373	2	2	Halomonas;Sphingopyxis	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PD40 domain-containing protein	K03641		tolB
D55_vs_D0	membrane maintenance	OG0000943	tolB	tolB	1	1	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	2							2	2	Halomonas;Sphingopyxis	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PD40 domain-containing protein	K03641		tolB
D55_vs_D0	membrane maintenance	OG0000943	tolB	tolB	1	1	Sphingopyxis	DEG	DEG	1	Down	Down	-1.97315394034216	7.9434048056133e-14	8.42826198205983e-13	13.0999933047093	2	2	Halomonas;Sphingopyxis	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PD40 domain-containing protein	K03641		tolB
D55_vs_D0	membrane maintenance	OG0000943	tolB	tolB	1	1	Aequorivita	Absent	Absent	0							2	2	Halomonas;Sphingopyxis	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PD40 domain-containing protein	K03641		tolB
D55_vs_D0	membrane maintenance	OG0000242	bepA	bepA	2	2	Halomonas	DEG	DEG	2	Up	Up	1.43671847940922	1.25893179609935e-09	1.67457911925597e-08	8.8999977975967	2	2	Aequorivita;Halomonas	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_D0	membrane maintenance	OG0000242	bepA	bepA	2	2	Psychrobacter	Present_not_DEG	Homolog_present_not_DEG	2							2	2	Aequorivita;Halomonas	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_D0	membrane maintenance	OG0000242	bepA	bepA	2	2	Sphingopyxis	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Aequorivita;Halomonas	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_D0	membrane maintenance	OG0000242	bepA	bepA	2	2	Aequorivita	DEG	DEG	1	Down	Down	-1.46772356217751	3.78385077382162e-09	2.65637749003918e-07	8.42206599948582	2	2	Aequorivita;Halomonas	Down;Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	M48 family metalloprotease	K23010;K01423	map05017	bepA
D55_vs_D0	membrane maintenance	OG0001247	bamB	bamB	3	3	Halomonas	DEG	DEG	1	Up	Up	1.00368042534314	5.75058578134651e-06	2.43383378018605e-05	5.24028791380625	2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PQQ-binding-like beta-propeller repeat protein	K17713		bamB
D55_vs_D0	membrane maintenance	OG0001247	bamB	bamB	3	3	Psychrobacter	DEG	DEG	1	Up	Up	1.52931939577337	2.30571173755715e-06	2.09709972320674e-05	5.63719498958845	2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PQQ-binding-like beta-propeller repeat protein	K17713		bamB
D55_vs_D0	membrane maintenance	OG0001247	bamB	bamB	3	3	Sphingopyxis	Present_not_DEG	Homolog_present_not_DEG	1							2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PQQ-binding-like beta-propeller repeat protein	K17713		bamB
D55_vs_D0	membrane maintenance	OG0001247	bamB	bamB	3	3	Aequorivita	Absent	Absent	0							2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	PQQ-binding-like beta-propeller repeat protein	K17713		bamB
D55_vs_D0	membrane maintenance	OG0001336	pgpA	pgpA	4	4	Halomonas	DEG	DEG	2	Up	Up	1.00177872455625	1.1732435581753e-05	4.43872732167451e-05	4.93061182165125	2	2	Halomonas;Psychrobacter	Up	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	MULTISPECIES: phosphatidylglycerophosphatase A	K01095	map00564;map01100	pgpA
