contrast	contrast_label	orthogroup_id	gene_label	display_gene_label	x	strain	point_status	member_gene_count_in_strain	log2_fold_change	P_value	FDR	neg_log10_P_value	direction	sharing	n_DEG_strains	DEG_strains
D55_vs_B55	55D vs 55B	OG0001285	fliC	fliC	1	Halomonas	DEG	2	1.0960564445306	5.85118925246946e-06	1.98112993679572e-05	5.23275585472231	Up	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001285	fliC	fliC	1	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001285	fliC	fliC	1	Sphingopyxis	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001285	fliC	fliC	1	Aequorivita	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001994	fliE	fliE	2	Halomonas	DEG	1	-1.20105778338344	0.0024145050667547	0.0044033846484013	2.61717187891085	Down	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001994	fliE	fliE	2	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001994	fliE	fliE	2	Sphingopyxis	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001994	fliE	fliE	2	Aequorivita	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001995	fliF	fliF	3	Halomonas	DEG	1	-1.96382678557282	1.2338297599243e-10	3.62789241690023e-09	9.90874475880023	Down	single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001995	fliF	fliF	3	Psychrobacter	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001995	fliF	fliF	3	Sphingopyxis	present_not_significant	1						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001995	fliF	fliF	3	Aequorivita	absent_no_member_gene	0						single	1	Halomonas
D55_vs_B55	55D vs 55B	OG0001996	fliG	fliG	4	Halomonas	DEG	1	-1.98636679370353	1.83684400819256e-06	7.26709468395865e-06	5.73592772407402	Down	shared	2	Halomonas;Sphingopyxis
D55_vs_B55	55D vs 55B	OG0001996	fliG	fliG	4	Psychrobacter	absent_no_member_gene	0						shared	2	Halomonas;Sphingopyxis
D55_vs_B55	55D vs 55B	OG0001996	fliG	fliG	4	Sphingopyxis	DEG	1	-1.27997812185671	9.13833527229166e-05	0.0003274570139237	4.0391329123522	Down	shared	2	Halomonas;Sphingopyxis
