"strain","orthofinder_orthogroup","sample","raw_count"
"Halomonas","OG0000001","D55MPa1",10385
"Halomonas","OG0000002","D55MPa1",7356
"Halomonas","OG0000003","D55MPa1",5912
"Halomonas","OG0000004","D55MPa1",3571
"Halomonas","OG0000006","D55MPa1",14205
"Halomonas","OG0000007","D55MPa1",6371
"Halomonas","OG0000008","D55MPa1",1142
"Halomonas","OG0000010","D55MPa1",663
"Halomonas","OG0000011","D55MPa1",1498
"Halomonas","OG0000012","D55MPa1",754
"Halomonas","OG0000013","D55MPa1",28168
"Halomonas","OG0000015","D55MPa1",20931
"Halomonas","OG0000016","D55MPa1",9054
"Halomonas","OG0000017","D55MPa1",5389
"Halomonas","OG0000018","D55MPa1",8074
"Halomonas","OG0000020","D55MPa1",255
"Halomonas","OG0000021","D55MPa1",369
"Halomonas","OG0000022","D55MPa1",839
"Halomonas","OG0000023","D55MPa1",510
"Halomonas","OG0000024","D55MPa1",452
"Halomonas","OG0000025","D55MPa1",953
"Halomonas","OG0000026","D55MPa1",417
"Halomonas","OG0000027","D55MPa1",7234
"Halomonas","OG0000029","D55MPa1",487
"Halomonas","OG0000030","D55MPa1",1077
"Halomonas","OG0000031","D55MPa1",470
"Halomonas","OG0000032","D55MPa1",769
"Halomonas","OG0000033","D55MPa1",939
"Halomonas","OG0000034","D55MPa1",16
"Halomonas","OG0000035","D55MPa1",75
"Halomonas","OG0000036","D55MPa1",6340
"Halomonas","OG0000037","D55MPa1",5695
"Halomonas","OG0000039","D55MPa1",513
"Halomonas","OG0000040","D55MPa1",1066
"Halomonas","OG0000041","D55MPa1",4497
"Halomonas","OG0000042","D55MPa1",14
"Halomonas","OG0000044","D55MPa1",205
"Halomonas","OG0000045","D55MPa1",3942
"Halomonas","OG0000046","D55MPa1",26
"Halomonas","OG0000047","D55MPa1",3884
"Halomonas","OG0000048","D55MPa1",0
"Halomonas","OG0000049","D55MPa1",1287
"Halomonas","OG0000050","D55MPa1",1776
"Halomonas","OG0000051","D55MPa1",2541
"Halomonas","OG0000052","D55MPa1",2
"Halomonas","OG0000053","D55MPa1",1429
"Halomonas","OG0000054","D55MPa1",3482
"Halomonas","OG0000056","D55MPa1",1368
"Halomonas","OG0000057","D55MPa1",151
"Halomonas","OG0000059","D55MPa1",364
"Halomonas","OG0000060","D55MPa1",1103
"Halomonas","OG0000061","D55MPa1",2020
"Halomonas","OG0000062","D55MPa1",434
"Halomonas","OG0000063","D55MPa1",430
"Halomonas","OG0000064","D55MPa1",234
"Halomonas","OG0000065","D55MPa1",2045
"Halomonas","OG0000066","D55MPa1",14694
"Halomonas","OG0000067","D55MPa1",341
"Halomonas","OG0000068","D55MPa1",3177
"Halomonas","OG0000069","D55MPa1",60
"Halomonas","OG0000070","D55MPa1",218
"Halomonas","OG0000071","D55MPa1",965
"Halomonas","OG0000072","D55MPa1",2651
"Halomonas","OG0000073","D55MPa1",8494
"Halomonas","OG0000074","D55MPa1",1048
"Halomonas","OG0000075","D55MPa1",492
"Halomonas","OG0000076","D55MPa1",1698
"Halomonas","OG0000077","D55MPa1",3451
"Halomonas","OG0000078","D55MPa1",2775
"Halomonas","OG0000081","D55MPa1",525
"Halomonas","OG0000082","D55MPa1",49
"Halomonas","OG0000083","D55MPa1",1758
"Halomonas","OG0000084","D55MPa1",68
"Halomonas","OG0000085","D55MPa1",200
"Halomonas","OG0000086","D55MPa1",6121
"Halomonas","OG0000087","D55MPa1",2500
"Halomonas","OG0000088","D55MPa1",454
"Halomonas","OG0000089","D55MPa1",756
"Halomonas","OG0000091","D55MPa1",3924
"Halomonas","OG0000092","D55MPa1",9162
"Halomonas","OG0000093","D55MPa1",826
"Halomonas","OG0000094","D55MPa1",5
"Halomonas","OG0000096","D55MPa1",957
"Halomonas","OG0000097","D55MPa1",870
"Halomonas","OG0000098","D55MPa1",2118
"Halomonas","OG0000099","D55MPa1",307
"Halomonas","OG0000100","D55MPa1",112258
"Halomonas","OG0000101","D55MPa1",1450
"Halomonas","OG0000102","D55MPa1",451
"Halomonas","OG0000103","D55MPa1",10453
"Halomonas","OG0000104","D55MPa1",117289
"Halomonas","OG0000105","D55MPa1",479
"Halomonas","OG0000106","D55MPa1",1106
"Halomonas","OG0000107","D55MPa1",2103
"Halomonas","OG0000108","D55MPa1",849
"Halomonas","OG0000109","D55MPa1",1932
"Halomonas","OG0000110","D55MPa1",1541
"Halomonas","OG0000112","D55MPa1",2035
"Halomonas","OG0000113","D55MPa1",911
"Halomonas","OG0000114","D55MPa1",5572
"Halomonas","OG0000115","D55MPa1",26
"Halomonas","OG0000116","D55MPa1",206
"Halomonas","OG0000117","D55MPa1",238
"Halomonas","OG0000118","D55MPa1",1066
"Halomonas","OG0000119","D55MPa1",1036
"Halomonas","OG0000120","D55MPa1",117
"Halomonas","OG0000121","D55MPa1",488
"Halomonas","OG0000123","D55MPa1",1191
"Halomonas","OG0000124","D55MPa1",4256
"Halomonas","OG0000125","D55MPa1",124
"Halomonas","OG0000126","D55MPa1",10526
"Halomonas","OG0000127","D55MPa1",1216
"Halomonas","OG0000128","D55MPa1",3165
"Halomonas","OG0000129","D55MPa1",3650
"Halomonas","OG0000130","D55MPa1",1415
"Halomonas","OG0000131","D55MPa1",14
"Halomonas","OG0000139","D55MPa1",874
"Halomonas","OG0000140","D55MPa1",1175
"Halomonas","OG0000141","D55MPa1",309
"Halomonas","OG0000142","D55MPa1",894
"Halomonas","OG0000143","D55MPa1",1989
"Halomonas","OG0000144","D55MPa1",2227
"Halomonas","OG0000145","D55MPa1",664
"Halomonas","OG0000146","D55MPa1",19
"Halomonas","OG0000147","D55MPa1",162
"Halomonas","OG0000148","D55MPa1",5686
"Halomonas","OG0000149","D55MPa1",1632
"Halomonas","OG0000150","D55MPa1",1274
"Halomonas","OG0000151","D55MPa1",6140
"Halomonas","OG0000153","D55MPa1",966
"Halomonas","OG0000154","D55MPa1",3373
"Halomonas","OG0000157","D55MPa1",3135
"Halomonas","OG0000159","D55MPa1",716
"Halomonas","OG0000160","D55MPa1",3921
"Halomonas","OG0000161","D55MPa1",954
"Halomonas","OG0000162","D55MPa1",2353
"Halomonas","OG0000163","D55MPa1",696
"Halomonas","OG0000164","D55MPa1",1525
"Halomonas","OG0000165","D55MPa1",1061
"Halomonas","OG0000166","D55MPa1",247
"Halomonas","OG0000167","D55MPa1",7720
"Halomonas","OG0000168","D55MPa1",199
"Halomonas","OG0000169","D55MPa1",465
"Halomonas","OG0000170","D55MPa1",5280
"Halomonas","OG0000171","D55MPa1",508
"Halomonas","OG0000172","D55MPa1",796
"Halomonas","OG0000173","D55MPa1",1467
"Halomonas","OG0000174","D55MPa1",517
"Halomonas","OG0000175","D55MPa1",1295
"Halomonas","OG0000176","D55MPa1",3820
"Halomonas","OG0000177","D55MPa1",24707
"Halomonas","OG0000178","D55MPa1",147
"Halomonas","OG0000179","D55MPa1",424
"Halomonas","OG0000180","D55MPa1",1337
"Halomonas","OG0000181","D55MPa1",751
"Halomonas","OG0000182","D55MPa1",7687
"Halomonas","OG0000183","D55MPa1",66
"Halomonas","OG0000184","D55MPa1",840
"Halomonas","OG0000185","D55MPa1",724
"Halomonas","OG0000186","D55MPa1",455
"Halomonas","OG0000187","D55MPa1",3871
"Halomonas","OG0000188","D55MPa1",2235
"Halomonas","OG0000189","D55MPa1",631
"Halomonas","OG0000190","D55MPa1",1463
"Halomonas","OG0000191","D55MPa1",87
"Halomonas","OG0000200","D55MPa1",3658
"Halomonas","OG0000201","D55MPa1",616
"Halomonas","OG0000203","D55MPa1",138
"Halomonas","OG0000207","D55MPa1",5780
"Halomonas","OG0000208","D55MPa1",401
