contrast,orthofinder_orthogroup,member_strains,n_member_strains,Halomonas_present,Psychrobacter_present,Aequorivita_present,Sphingopyxis_present,Halomonas_direction,Psychrobacter_direction,Aequorivita_direction,Sphingopyxis_direction
D55_vs_D0,OG0000002,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000003,Aequorivita;Sphingopyxis,2,False,False,True,True,,,down,down
D55_vs_D0,OG0000005,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000007,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0000008,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000009,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000011,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000013,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000016,Halomonas;Psychrobacter,2,True,True,False,False,up,down,,
D55_vs_D0,OG0000017,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000018,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000021,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000023,Halomonas,1,True,False,False,False,down,,,
D55_vs_D0,OG0000024,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000026,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000027,Psychrobacter,1,False,True,False,False,,up,,
D55_vs_D0,OG0000028,Psychrobacter,1,False,True,False,False,,down,,
D55_vs_D0,OG0000031,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000032,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000034,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000035,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000037,Halomonas;Aequorivita,2,True,False,True,False,down,,up,
D55_vs_D0,OG0000040,Aequorivita,1,False,False,True,False,,,up,
D55_vs_D0,OG0000041,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000043,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000044,Halomonas;Psychrobacter;Sphingopyxis,3,True,True,False,True,down,up,,up
D55_vs_D0,OG0000045,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000047,Psychrobacter;Sphingopyxis,2,False,True,False,True,,up,,down
D55_vs_D0,OG0000049,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000050,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000051,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0000052,Psychrobacter;Sphingopyxis,2,False,True,False,True,,down,,up
D55_vs_D0,OG0000058,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000060,Psychrobacter;Aequorivita,2,False,True,True,False,,up,up,
D55_vs_D0,OG0000061,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000062,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000065,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000066,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,down
D55_vs_D0,OG0000068,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000069,Halomonas;Aequorivita,2,True,False,True,False,down,,up,
D55_vs_D0,OG0000070,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0000072,Halomonas;Psychrobacter;Aequorivita;Sphingopyxis,4,True,True,True,True,up,down,down,up
D55_vs_D0,OG0000079,Sphingopyxis,1,False,False,False,True,,,,up
D55_vs_D0,OG0000080,Sphingopyxis,1,False,False,False,True,,,,down
D55_vs_D0,OG0000086,Halomonas;Sphingopyxis,2,True,False,False,True,up,,,up
D55_vs_D0,OG0000087,Halomonas;Sphingopyxis,2,True,False,False,True,down,,,down
D55_vs_D0,OG0000089,Halomonas,1,True,False,False,False,up,,,
D55_vs_D0,OG0000090,Aequorivita,1,False,False,True,False,,,down,
D55_vs_D0,OG0000091,Sphingopyxis,1,False,False,False,True,,,,down
