strain,sample,condition,condition_label,sample_id,heatmap_column_order
Halomonas,D55MPa1,D55,55D,D55MPa1,1
Halomonas,D55MPa2,D55,55D,D55MPa2,2
Halomonas,D55MPa3,D55,55D,D55MPa3,3
Halomonas,D55MPa4,D55,55D,D55MPa4,4
Halomonas,D0.1MPa1,D0,0D,D0.1MPa1,5
Halomonas,D0.1MPa2,D0,0D,D0.1MPa2,6
Halomonas,D0.1MPa3,D0,0D,D0.1MPa3,7
Halomonas,D0.1MPa4,D0,0D,D0.1MPa4,8
Halomonas,B55MPa1,B55,55B,B55MPa1,9
Halomonas,B55MPa2,B55,55B,B55MPa2,10
Halomonas,B55MPa3,B55,55B,B55MPa3,11
Halomonas,B0.1MPa1,B0,0B,B0.1MPa1,12
Halomonas,B0.1MPa2,B0,0B,B0.1MPa2,13
Halomonas,B0.1MPa3,B0,0B,B0.1MPa3,14
Sphingopyxis,SPH5500D1,D55,55D,SPH5500D1,15
Sphingopyxis,SPH5500D2,D55,55D,SPH5500D2,16
Sphingopyxis,SPH5500D3,D55,55D,SPH5500D3,17
Sphingopyxis,SPH5500D4,D55,55D,SPH5500D4,18
Sphingopyxis,SPH0D1,D0,0D,SPH0D1,19
Sphingopyxis,SPH0D2,D0,0D,SPH0D2,20
Sphingopyxis,SPH0D3,D0,0D,SPH0D3,21
Sphingopyxis,SPH0D4,D0,0D,SPH0D4,22
Sphingopyxis,SPH5500B1,B55,55B,SPH5500B1,23
Sphingopyxis,SPH5500B2,B55,55B,SPH5500B2,24
Sphingopyxis,SPH5500B3,B55,55B,SPH5500B3,25
Sphingopyxis,SPH5500B4,B55,55B,SPH5500B4,26
Sphingopyxis,SPH0B1,B0,0B,SPH0B1,27
Sphingopyxis,SPH0B2,B0,0B,SPH0B2,28
Sphingopyxis,SPH0B3,B0,0B,SPH0B3,29
Sphingopyxis,SPH0B4,B0,0B,SPH0B4,30
Psychrobacter,PSY5500D1,D55,55D,PSY5500D1,31
Psychrobacter,PSY5500D2,D55,55D,PSY5500D2,32
Psychrobacter,PSY5500D3,D55,55D,PSY5500D3,33
Psychrobacter,PSY5500D4,D55,55D,PSY5500D4,34
Psychrobacter,PSY0D1,D0,0D,PSY0D1,35
Psychrobacter,PSY0D2,D0,0D,PSY0D2,36
Psychrobacter,PSY0D3,D0,0D,PSY0D3,37
Psychrobacter,PSY0D4,D0,0D,PSY0D4,38
Psychrobacter,PSY5500B1,B55,55B,PSY5500B1,39
Psychrobacter,PSY5500B2,B55,55B,PSY5500B2,40
Psychrobacter,PSY5500B3,B55,55B,PSY5500B3,41
Psychrobacter,PSY5500B4,B55,55B,PSY5500B4,42
Psychrobacter,PSY0B1,B0,0B,PSY0B1,43
Psychrobacter,PSY0B2,B0,0B,PSY0B2,44
Psychrobacter,PSY0B3,B0,0B,PSY0B3,45
Psychrobacter,PSY0B4,B0,0B,PSY0B4,46
Aequorivita,AE5500D1,D55,55D,AE5500D1,47
Aequorivita,AE5500D3,D55,55D,AE5500D3,48
Aequorivita,AE5500D4,D55,55D,AE5500D4,49
Aequorivita,AE0D1,D0,0D,AE0D1,50
Aequorivita,AE0D2,D0,0D,AE0D2,51
Aequorivita,AE0D3,D0,0D,AE0D3,52
Aequorivita,AE0D4,D0,0D,AE0D4,53
Aequorivita,AE5500B1,B55,55B,AE5500B1,54
Aequorivita,AE5500B2,B55,55B,AE5500B2,55
Aequorivita,AE5500B3,B55,55B,AE5500B3,56
Aequorivita,AE5500B4,B55,55B,AE5500B4,57
Aequorivita,AE0B1,B0,0B,AE0B1,58
Aequorivita,AE0B2,B0,0B,AE0B2,59
Aequorivita,AE0B3,B0,0B,AE0B3,60
Aequorivita,AE0B4,B0,0B,AE0B4,61
