contrast	module	orthogroup_id	gene_label	n_DEG_events	n_DEG_strains	sharing	DEG_strains	directions	strict_function_evidence	representative_product	ko_terms	pathway_ids	member_gene_symbols	compact_og
D55_vs_B55	Flagellar assembly	OG0001997	fliI	2	2	shared	Halomonas;Sphingopyxis	Down	strict flagellar assembly: flagellar structural, motor, basal-body, hook, or export component	MULTISPECIES: flagellar protein export ATPase FliI	K02412	map02040	fliI	OG1997
D55_vs_B55	Flagellar assembly	OG0001996	fliG	2	2	shared	Halomonas;Sphingopyxis	Down	strict flagellar assembly: flagellar structural, motor, basal-body, hook, or export component	MULTISPECIES: flagellar motor switch protein FliG	K02410	map02030;map02040	fliG	OG1996
D55_vs_B55	ROS removal	OG0000349	osmC	3	3	shared	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	organic hydroperoxide resistance protein	K04063		osmC	OG349
D55_vs_B55	ROS removal	OG0000365	sodC	3	3	shared	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase family protein	K04565	map04146;map04213;map05012;map05014;map05016;map05020;map05022;map05208		OG365
D55_vs_B55	ROS removal	OG0000624	ahpC	3	3	shared	Halomonas;Psychrobacter;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	alkyl hydroperoxide reductase	K24119		ahpC	OG624
D55_vs_B55	ROS removal	OG0001394	ahpF	2	2	shared	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: alkyl hydroperoxide reductase subunit F	K03387		ahpF	OG1394
D55_vs_B55	ROS removal	OG0000834	katG	2	2	shared	Halomonas;Sphingopyxis	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03782	map00360;map00380;map00940;map00983;map01100;map01110	katG	OG834
D55_vs_B55	ROS removal	OG0000341	prx	2	2	shared	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: peroxiredoxin	K24158;K03386	map04214	prx;ahpC	OG341
D55_vs_B55	ROS removal	OG0000745	sodB	2	2	shared	Halomonas;Sphingopyxis	Down;Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	MULTISPECIES: superoxide dismutase	K04564	map04013;map04068;map04146;map04211;map04212;map04213;map05016;map05208;map05417		OG745
D55_vs_B55	ROS removal	OG0001854	katE	2	2	shared	Halomonas;Psychrobacter	Up	strict ROS removal: catalase/SOD/Ahp/peroxiredoxin/OsmC-Ohr/Bcp/BtuE/Tpx direct detoxification enzyme	catalase	K03781	map00380;map00630;map01100;map01110;map01200;map04011;map04016;map04068;map04146;map04211;map04212;map04213;map05014;map05022;map05208	katE	OG1854
