contrast	strain	module	orthogroup_id	gene_label	direction	logFC	pvalue	FDR	n_DEG_strains_raw	strict_function_evidence	source_table	ko_terms	pathway_ids	pathway_names	representative_product	representative_Preferred_name	member_gene_symbols	member_products	n_DEG_strains	sharing	sharing_label
D55_vs_B55	Halomonas	membrane maintenance	OG0000046	lspA	Down	-1.16128922370471	0.0056060579091327	0.0095195066420531	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03101	map03060	Protein export	signal peptidase II	lspA	lspA	MULTISPECIES: signal peptidase II;signal peptidase II;lipoprotein signal peptidase	1	single	OG in 1 strain
D55_vs_B55	Sphingopyxis	membrane maintenance	OG0000143	pal	Up	1.17350142991283	2.79706245772559e-09	3.64263594089303e-08	3	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03640;K03286			MULTISPECIES: peptidoglycan-associated lipoprotein Pal	pal	pal	MULTISPECIES: peptidoglycan-associated lipoprotein Pal;OmpA family protein;peptidoglycan-associated lipoprotein Pal	1	single	OG in 1 strain
D55_vs_B55	Aequorivita	membrane maintenance	OG0000242	bepA	Up	1.38677459969802	4.60952155180079e-09	2.85923125235546e-07	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K23010;K01423	map05017	Spinocerebellar ataxia	M48 family metalloprotease	bepA	bepA	MULTISPECIES: M48 family metallopeptidase;M48 family metalloprotease;peptidase M48;M48 family metallopeptidase;Putative Zn-dependent protease	3	shared	OG in >=2 strains
D55_vs_B55	Halomonas	membrane maintenance	OG0000242	bepA	Up	1.21665862804268	4.91366849749734e-08	3.24224740228565e-07	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K23010;K01423	map05017	Spinocerebellar ataxia	M48 family metalloprotease	bepA	bepA	MULTISPECIES: M48 family metallopeptidase;M48 family metalloprotease;peptidase M48;M48 family metallopeptidase;Putative Zn-dependent protease	3	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	membrane maintenance	OG0000242	bepA	Up	1.96904421397382	9.43416032045488e-16	2.2821772146464e-13	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K23010;K01423	map05017	Spinocerebellar ataxia	M48 family metalloprotease	bepA	bepA	MULTISPECIES: M48 family metallopeptidase;M48 family metalloprotease;peptidase M48;M48 family metallopeptidase;Putative Zn-dependent protease	3	shared	OG in >=2 strains
D55_vs_B55	Halomonas	membrane maintenance	OG0000391	lolC_E	Up	1.9142567042125	1.50064474039577e-09	2.22205246386916e-08	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K02004;K09808	map02010	ABC transporters	MULTISPECIES: lipoprotein-releasing ABC transporter permease subunit	lolC	lolC_E	MULTISPECIES: lipoprotein-releasing ABC transporter permease subunit;ABC transporter permease;transmembrane permease;lipoprotein-releasing ABC transporter permease subunit	1	single	OG in 1 strain
D55_vs_B55	Halomonas	membrane maintenance	OG0000460	cfa	Up	2.39512396235573	3.72168189203112e-10	8.06530023808119e-09	3	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K00574			cyclopropane-fatty-acyl-phospholipid synthase family protein	cfa	cfa	MULTISPECIES: cyclopropane fatty acyl phospholipid synthase;cyclopropane-fatty-acyl-phospholipid synthase family protein	2	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	membrane maintenance	OG0000460	cfa	Up	1.85822633497096	4.4302407241955e-08	5.16748689051201e-07	3	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K00574			cyclopropane-fatty-acyl-phospholipid synthase family protein	cfa	cfa	MULTISPECIES: cyclopropane fatty acyl phospholipid synthase;cyclopropane-fatty-acyl-phospholipid synthase family protein	2	shared	OG in >=2 strains
D55_vs_B55	Psychrobacter	membrane maintenance	OG0000481	pal	Up	1.92899157889269	2.6594990118484e-09	5.72354153535825e-08	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03286;K03640			hypothetical protein	yiaD	pal	MULTISPECIES: OmpA family protein;OmpA family protein;hypothetical protein	2	shared	OG in >=2 strains
D55_vs_B55	Sphingopyxis	membrane maintenance	OG0000481	pal	Up	1.56735464012321	3.1160904610026e-13	1.61791866223413e-11	4	strict membrane maintenance: Tol-Pal/envelope integrity, lipid synthesis/modification, or OM protein/lipoprotein assembly	DEG_OG_edgeR.tsv strict full-module filter	K03286;K03640			hypothetical protein	yiaD	pal	MULTISPECIES: OmpA family protein;OmpA family protein;hypothetical protein	2	shared	OG in >=2 strains
