strain	contrast	test_condition	ref_condition	orthofinder_orthogroup	OG_gene_symbol	logFC	logCPM	F	PValue	FDR	is_DEG	DEG_direction	member_gene_count_in_strain	n_member_genes_all_strains	n_member_strains	representative_prefixed_id	representative_gene_id	representative_strain	representative_name	representative_product	representative_Preferred_name	representative_selection_basis	representative_match_score	ko_terms	ko_names	pathway_ids	pathway_names	go_terms	cog_categories	cog_category_names	Halomonas_members	Psychrobacter_members	Aequorivita_members	Sphingopyxis_members	Halomonas_count	Psychrobacter_count	Aequorivita_count	Sphingopyxis_count	member_gene_symbols	member_products	representative_emapper_score	representative_kofam_score
Aequorivita	D55_vs_D0	D55	D0	OG0000003	cysB	-1.43089560713954	7.3753621474063	60.3644063545284	1.09347062576327e-06	1.41948493901476e-05	True	down	1	38	4	Halomonas__gene2070	gene2070	Halomonas	cysB	MULTISPECIES: HTH-type transcriptional regulator CysB	cysB	gene_name	615.0	K17737;K21645;K21711;K21699;K13634;K04761;K02521;K21757	dhcR;LysR family transcriptional regulator;carnitine catabolism transcriptional activator;hypT;qseD;hypochlorite-specific transcription factor HypT;pycR;putative pyruvate carboxylase regulator;bauR;transcriptional activator for bauABCD operon;cysB;cys regulon transcriptional activator;oxyR;hydrogen peroxide-inducible genes activator;ilvY;positive regulator for ilvC;benM;benzoate and cis;cis-muconate-responsive activator of ben and cat genes	map02026	Biofilm formation - Escherichia coli	GO:0003674;GO:0003676;GO:0003677;GO:0003700;GO:0005488;GO:0006139;GO:0006351;GO:0006355;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009405;GO:0009889;GO:0009987;GO:0010467;GO:0010468;GO:0010556;GO:0016070;GO:0018130;GO:0019219;GO:0019222;GO:0019438;GO:0031323;GO:0031326;GO:0032774;GO:0034641;GO:0034645;GO:0034654;GO:0043170;GO:0043565;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044271;GO:0044419;GO:0046483;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0051704;GO:0060255;GO:0065007;GO:0071704;GO:0080090;GO:0090304;GO:0097159;GO:0097659;GO:0140110;GO:1901360;GO:1901362;GO:1901363;GO:1901576;GO:1903506;GO:2000112;GO:2001141;GO:0009314;GO:0009628;GO:0010212;GO:0050896;GO:0006792;GO:0045883;GO:0048518	K	K: Transcription	Halomonas__gene0102;Halomonas__gene0129;Halomonas__gene0585;Halomonas__gene0940;Halomonas__gene1097;Halomonas__gene1127;Halomonas__gene1398;Halomonas__gene1418;Halomonas__gene1545;Halomonas__gene1547;Halomonas__gene1585;Halomonas__gene1653;Halomonas__gene1672;Halomonas__gene1678;Halomonas__gene1967;Halomonas__gene2070;Halomonas__gene2476;Halomonas__gene2835;Halomonas__gene2844;Halomonas__gene2888;Halomonas__gene2937;Halomonas__gene3464;Halomonas__gene3528;Halomonas__gene3623	Psychrobacter__gene0056;Psychrobacter__gene0111;Psychrobacter__gene0405;Psychrobacter__gene0552;Psychrobacter__gene0732;Psychrobacter__gene1152;Psychrobacter__gene1361;Psychrobacter__gene1442;Psychrobacter__gene2109	Aequorivita__gene0174	Sphingopyxis__gene1349;Sphingopyxis__gene2425;Sphingopyxis__gene2654;Sphingopyxis__gene2913	24	9	1	4	dhcR;hypT;ftsR;cysL;pycR;ytlI;bpeT;benM;cynR;bauR;cysB;oxyR;cbbR;ilvY;cbl;hdfR	MULTISPECIES: LysR family transcriptional regulator;MULTISPECIES: LysR substrate-binding domain-containing protein;MULTISPECIES: substrate-binding domain-containing protein;LysR family transcriptional regulator;MULTISPECIES: HTH-type transcriptional regulator CysB;MULTISPECIES: hydrogen peroxide-inducible genes activator;MULTISPECIES: HTH-type transcriptional activator IlvY;LysR substrate-binding domain-containing protein;hypothetical protein;hydrogen peroxide-inducible genes activator	615.0	506.8
Aequorivita	D55_vs_D0	D55	D0	OG0000011	xerD	-1.16404160125506	7.10726237317608	20.0611825301569	0.0004228130714526	0.0016416630984178	True	down	3	20	4	Psychrobacter__gene1197	gene1197	Psychrobacter	xerD	tyrosine-type recombinase/integrase		gene_name	847.0	K14059	int;integrase				L	L: Replication;recombination and repair	Halomonas__gene0167;Halomonas__gene0273;Halomonas__gene0364;Halomonas__gene0716;Halomonas__gene3170;Halomonas__gene3260;Halomonas__gene3354;Halomonas__gene3616;Halomonas__gene3617;Halomonas__gene3667	Psychrobacter__gene0471;Psychrobacter__gene1197	Aequorivita__gene1463;Aequorivita__gene1990;Aequorivita__gene2002	Sphingopyxis__gene0939;Sphingopyxis__gene1135;Sphingopyxis__gene1366;Sphingopyxis__gene3360;Sphingopyxis__gene3636	10	2	3	5	xerC;xerD;int	integrase;site-specific integrase;tyrosine-type recombinase/integrase;DUF3596 domain-containing protein;phage integrase SAM-like domain-containing protein;recombinase;MULTISPECIES: site-specific integrase	847.0	101.2
Aequorivita	D55_vs_D0	D55	D0	OG0000021	prpR	1.72778522615653	1.6178248663018	16.1618152023563	0.0010847118056886	0.0035260140867088	True	up	1	17	3	Sphingopyxis__gene2176	gene2176	Sphingopyxis	prpR	helix-turn-helix transcriptional regulator		gene_name	867.0	K21498;K07729;K07110;K21686	higA-1;antitoxin HigA-1;K07729;putative transcriptional regulator;prpR;XRE family transcriptional regulator;fatty acid utilization regulator;ramB				K;S	K: Transcription;S: Function unknown	Halomonas__gene1478;Halomonas__gene3143;Halomonas__gene3145		Aequorivita__gene2215	Sphingopyxis__gene0338;Sphingopyxis__gene1717;Sphingopyxis__gene2176;Sphingopyxis__gene2452;Sphingopyxis__gene2594;Sphingopyxis__gene2631;Sphingopyxis__gene2794;Sphingopyxis__gene2823;Sphingopyxis__gene3174;Sphingopyxis__gene3439;Sphingopyxis__gene3520;Sphingopyxis__gene3579;Sphingopyxis__gene3860	3	0	1	13	higA-1;rghR;prpR;sutR;ramB;tuaC	addiction module antidote protein;HigA family;MULTISPECIES: HigA family addiction module antitoxin;helix-turn-helix transcriptional regulator;XRE family transcriptional regulator;helix-turn-helix domain-containing protein;transcriptional regulator;XRE family;MULTISPECIES: helix-turn-helix transcriptional regulator	867.0	559.7
Aequorivita	D55_vs_D0	D55	D0	OG0000026	lrp	-1.16512495169216	8.25095379549001	46.7376329841451	5.1106355221265e-06	4.34404019380752e-05	True	down	2	16	4	Halomonas__gene2373	gene2373	Halomonas	lrp	Lrp/AsnC ligand binding domain-containing protein	lrp	gene_name	319.0	K03719;K15782;K03718;K05800	doeX;Lrp/AsnC family transcriptional regulator;regulator of ectoine-degradation genes;lrp;leucine-responsive regulatory protein;asnC;regulator for asnA;asnC and gidA;decR;cyuR;cysteine-sensing transcriptional activator			GO:0003674;GO:0003676;GO:0003677;GO:0003700;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0006139;GO:0006351;GO:0006355;GO:0006725;GO:0006807;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009889;GO:0009987;GO:0010467;GO:0010468;GO:0010556;GO:0016070;GO:0018130;GO:0019219;GO:0019222;GO:0019438;GO:0031323;GO:0031326;GO:0032774;GO:0034641;GO:0034645;GO:0034654;GO:0043170;GO:0043565;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044271;GO:0044424;GO:0044464;GO:0046483;GO:0050789;GO:0050794;GO:0051171;GO:0051252;GO:0060255;GO:0065007;GO:0071704;GO:0080090;GO:0090304;GO:0097159;GO:0097659;GO:0140110;GO:1901360;GO:1901362;GO:1901363;GO:1901576;GO:1903506;GO:2000112;GO:2001141;GO:0001101;GO:0005829;GO:0010033;GO:0010243;GO:0042221;GO:0043200;GO:0044444;GO:0050896;GO:1901698;GO:1901700	K	K: Transcription	Halomonas__gene1901;Halomonas__gene2373;Halomonas__gene2807;Halomonas__gene2856	Psychrobacter__gene1368;Psychrobacter__gene1539;Psychrobacter__gene2524	Aequorivita__gene0512;Aequorivita__gene1169	Sphingopyxis__gene0619;Sphingopyxis__gene1942;Sphingopyxis__gene2045;Sphingopyxis__gene2560;Sphingopyxis__gene2896;Sphingopyxis__gene3527;Sphingopyxis__gene3849	4	3	2	7	doeX;lrp;asnC;decR;azlB;ohrR	Lrp/AsnC family transcriptional regulator;Lrp/AsnC ligand binding domain-containing protein;MULTISPECIES: Lrp/AsnC family transcriptional regulator;ArsR family transcriptional regulator;MULTISPECIES: winged helix-turn-helix transcriptional regulator;MarR family transcriptional regulator	319.0	215.7
Aequorivita	D55_vs_D0	D55	D0	OG0000031	phoP	-1.41085200692674	9.56632248156454	51.1215920446423	3.00528244406721e-06	2.93073280204384e-05	True	down	2	14	4	Psychrobacter__gene0087	gene0087	Psychrobacter	phoP	MULTISPECIES: response regulator transcription factor		gene_name	480.0	K02483;K07666	K02483;two-component system;OmpR family;response regulator;qseB;response regulator QseB	map02020;map02024	Quorum sensing;Two-component system	GO:0000160;GO:0003674;GO:0003676;GO:0003677;GO:0005488;GO:0005575;GO:0005622;GO:0005623;GO:0005737;GO:0006139;GO:0006351;GO:0006355;GO:0006725;GO:0006807;GO:0007154;GO:0007165;GO:0008150;GO:0008152;GO:0009058;GO:0009059;GO:0009889;GO:0009987;GO:0010035;GO:0010038;GO:0010467;GO:0010468;GO:0010556;GO:0016070;GO:0018130;GO:0019219;GO:0019222;GO:0019438;GO:0023052;GO:0031323;GO:0031326;GO:0032774;GO:0034641;GO:0034645;GO:0034654;GO:0035556;GO:0042221;GO:0043170;GO:0044237;GO:0044238;GO:0044249;GO:0044260;GO:0044271;GO:0044424;GO:0044464;GO:0046483;GO:0050789;GO:0050794;GO:0050896;GO:0051171;GO:0051252;GO:0051716;GO:0060255;GO:0065007;GO:0071704;GO:0080090;GO:0090304;GO:0097159;GO:0097659;GO:1901360;GO:1901362;GO:1901363;GO:1901576;GO:1903506;GO:2000112;GO:2001141	T;KT;K	T: Signal transduction mechanisms;K: Transcription	Halomonas__gene2975;Halomonas__gene3194;Halomonas__gene3227;Halomonas__gene3746;Halomonas__gene3748	Psychrobacter__gene0087;Psychrobacter__gene1181;Psychrobacter__gene1454;Psychrobacter__gene2147	Aequorivita__gene0617;Aequorivita__gene1091	Sphingopyxis__gene0073;Sphingopyxis__gene3105;Sphingopyxis__gene3287	5	4	2	3	qseB;phoP;cusR	MULTISPECIES: response regulator transcription factor;response regulator transcription factor;DNA-binding response regulator;MULTISPECIES: heavy metal response regulator transcription factor;MULTISPECIES: response regulator;heavy metal response regulator transcription factor	480.0	281.5
Aequorivita	D55_vs_D0	D55	D0	OG0000037	actP	1.10709359910749	8.17481517920077	56.133330268004	1.70843654051653e-06	1.88527470874543e-05	True	up	1	13	4	Halomonas__gene1241	gene1241	Halomonas	actP	sodium:solute symporter family protein		gene_name	1112.0	K03307;K11928;K14393	TC.SSS;solute:Na+ symporter;SSS family;putP;sodium/proline symporter;actP;cation/acetate symporter				E;S;H	E: Amino acid transport and metabolism;S: Function unknown;H: Coenzyme transport and metabolism	Halomonas__gene0014;Halomonas__gene1241;Halomonas__gene1620;Halomonas__gene2481;Halomonas__gene2697;Halomonas__gene2997	Psychrobacter__gene0443;Psychrobacter__gene1151;Psychrobacter__gene2614	Aequorivita__gene1141	Sphingopyxis__gene1217;Sphingopyxis__gene1932;Sphingopyxis__gene2059	6	3	1	3	putP;actP	sodium/proline symporter PutP;sodium:solute symporter family protein;MULTISPECIES: sodium:solute symporter family protein;MULTISPECIES: sodium/proline symporter PutP;Na+:solute symporter;cation acetate symporter	1112.0	683.4
Aequorivita	D55_vs_D0	D55	D0	OG0000040	emrB	1.48836507245658	5.68535463677429	55.337090629955	1.86473366535315e-06	1.98799572119853e-05	True	up	1	13	4	Sphingopyxis__gene3774	gene3774	Sphingopyxis	emrB	MULTISPECIES: MDR family MFS transporter		gene_name	979.0	K08169;K08224;K03446;K08151	yebQ;MFS transporter;DHA2 family;multidrug resistance protein;ynfM;yybF;YNFM family;putative membrane transport protein;emrB;tetA;DHA1 family;tetracycline resistance protein			GO:0005575;GO:0005623;GO:0005886;GO:0005887;GO:0006810;GO:0008150;GO:0016020;GO:0016021;GO:0031224;GO:0031226;GO:0044425;GO:0044459;GO:0044464;GO:0051179;GO:0051234;GO:0055085;GO:0071944;GO:0003674;GO:0005215;GO:0022857	EGP;P	E: Amino acid transport and metabolism;G: Carbohydrate transport and metabolism;P: Inorganic ion transport and metabolism	Halomonas__gene0502;Halomonas__gene0833;Halomonas__gene1986;Halomonas__gene3537	Psychrobacter__gene0239;Psychrobacter__gene0745;Psychrobacter__gene0812;Psychrobacter__gene2091	Aequorivita__gene2093	Sphingopyxis__gene0150;Sphingopyxis__gene1368;Sphingopyxis__gene1486;Sphingopyxis__gene3774	4	4	1	4	yebQ;ynfM;tcaB;emrB;blt;lmrS;mdtD;tetA	MULTISPECIES: MFS transporter;MFS transporter;DHA2 family efflux MFS transporter permease subunit;MULTISPECIES: MDR family MFS transporter	979.0	480.9
Aequorivita	D55_vs_D0	D55	D0	OG0000060	czcA	1.52058967805859	11.1322989885909	39.7583263672206	1.29550469710464e-05	9.58673475857435e-05	True	up	3	10	4	Aequorivita__gene2024	gene2024	Aequorivita	czcA	CusA/CzcA family heavy metal efflux RND transporter		gene_name	2695.0	K15726	czcA;cusA;cnrA;heavy metal efflux system protein				P	P: Inorganic ion transport and metabolism	Halomonas__gene2728;Halomonas__gene3613	Psychrobacter__gene2630	Aequorivita__gene0294;Aequorivita__gene2006;Aequorivita__gene2024	Sphingopyxis__gene0557;Sphingopyxis__gene2648;Sphingopyxis__gene2670;Sphingopyxis__gene3865	2	1	3	4	czcA	MULTISPECIES: CusA/CzcA family heavy metal efflux RND transporter;CusA/CzcA family heavy metal efflux RND transporter	2695.0	1549.5
Aequorivita	D55_vs_D0	D55	D0	OG0000062	nirB	-1.2811347064201	8.24667086081625	42.6352945819962	8.70739738022136e-06	6.84619119019904e-05	True	down	1	10	4	Psychrobacter__gene0432	gene0432	Psychrobacter	nirB	nitrite reductase large subunit NirB	nirB	gene_name	1600.0	K00362;K05297;K22747;K00529	nirB;nitrite reductase (NADH) large subunit [EC:1.7.1.15];rubB;alkT;rubredoxin---NAD+ reductase [EC:1.18.1.1];AIFM3;apoptosis-inducing factor 3;hcaD;3-phenylpropionate/trans-cinnamate dioxygenase ferredoxin reductase component [EC:1.18.1.3]	map00910;map01100;map01120;map01310;map00071;map00360;map00362;map01220	Metabolic pathways;Microbial metabolism in diverse environments;Nitrogen cycle;Nitrogen metabolism;Fatty acid degradation;Benzoate degradation;Degradation of aromatic compounds;Phenylalanine metabolism	GO:0000166;GO:0003674;GO:0003824;GO:0005488;GO:0005575;GO:0005623;GO:0006082;GO:0006091;GO:0006807;GO:0008150;GO:0008152;GO:0008942;GO:0009061;GO:0009344;GO:0009987;GO:0015980;GO:0016491;GO:0016661;GO:0020037;GO:0032991;GO:0036094;GO:0042126;GO:0042128;GO:0043167;GO:0043168;GO:0043169;GO:0043436;GO:0044237;GO:0044281;GO:0044464;GO:0045333;GO:0046857;GO:0046872;GO:0046906;GO:0048037;GO:0050660;GO:0050661;GO:0050662;GO:0051536;GO:0051539;GO:0051540;GO:0055114;GO:0071704;GO:0071941;GO:0097159;GO:0098809;GO:1901265;GO:1901363;GO:2001057	C;P;CP;S	C: Energy production and conversion;P: Inorganic ion transport and metabolism;S: Function unknown	Halomonas__gene1354;Halomonas__gene1355;Halomonas__gene2832	Psychrobacter__gene0229;Psychrobacter__gene0432;Psychrobacter__gene0435;Psychrobacter__gene1561	Aequorivita__gene2649	Sphingopyxis__gene1852;Sphingopyxis__gene2638	3	4	1	2	nasD;nirB;rubB;norW;hcaD	MULTISPECIES: FAD-dependent oxidoreductase;MULTISPECIES: nitrite reductase large subunit NirB;rubredoxin-NAD+ reductase;FAD-dependent oxidoreductase;nitrite reductase large subunit NirB	1600.0	1470.6
Aequorivita	D55_vs_D0	D55	D0	OG0000069	cspA	1.04160356029995	4.38990489927191	10.8459979499067	0.0048258595904377	0.0124659781617468	True	up	2	10	4	Sphingopyxis__gene1330	gene1330	Sphingopyxis	cspA	MULTISPECIES: cold-shock protein		gene_name	394.0	K03704	cspA;cold shock protein				K	K: Transcription	Halomonas__gene1412;Halomonas__gene1588;Halomonas__gene1823	Psychrobacter__gene0054;Psychrobacter__gene0861;Psychrobacter__gene2506	Aequorivita__gene1352;Aequorivita__gene2837	Sphingopyxis__gene1330;Sphingopyxis__gene3483	3	3	2	2	cspA	MULTISPECIES: cold-shock protein;MULTISPECIES: cold shock domain-containing protein;cold-shock protein	394.0	168.5
